datetime,BTCUSDT
2022-06-27,98585.39745398783
2022-06-28,96368.32602748636
2022-06-29,95613.29467341016
2022-06-30,94750.35165093822
2022-07-01,91549.62079624832
2022-07-02,91421.36970350434
2022-07-03,91720.1295169732
2022-07-04,95991.8399843893
2022-07-05,95702.62343729306
2022-07-06,97528.76550251915
2022-07-07,102432.74136143437
2022-07-08,102289.44836648375
2022-07-09,102275.61605145974
2022-07-10,98761.10357273869
2022-07-11,94411.59200698593
2022-07-12,91360.44618992033
2022-07-13,95546.00891186108
2022-07-14,97202.95132907577
2022-07-15,98335.07353493794
2022-07-16,100045.85181990227
2022-07-17,98152.07471545791
2022-07-18,105577.26397199178
2022-07-19,110019.65973424668
2022-07-20,109201.61048500106
2022-07-21,108866.7209729994
2022-07-22,106646.6065763699
2022-07-23,105541.94560150543
2022-07-24,106144.81304346767
2022-07-25,100006.27722300612
2022-07-26,99742.05634029036
2022-07-27,107407.03874235226
2022-07-28,111495.27851925441
2022-07-29,111171.30596195075
2022-07-30,110560.60060699882
2022-07-31,108910.81151196171
2022-08-01,108792.40712313214
2022-08-02,107474.25107458733
2022-08-03,106679.23264708035
2022-08-04,105761.82223885367
2022-08-05,108936.79869235477
2022-08-06,107249.92284281131
2022-08-07,108273.77647593792
2022-08-08,111203.43433738804
2022-08-09,108077.1677624009
2022-08-10,111767.44008421757
2022-08-11,111675.6706302323
2022-08-12,113844.14455326229
2022-08-13,114019.88085502619
2022-08-14,113383.00769591902
2022-08-15,112397.13276957055
2022-08-16,111271.59463610254
2022-08-17,108856.96187339642
2022-08-18,108148.33664143895
2022-08-19,96558.30547869294
2022-08-20,97964.70663927955
2022-08-21,99689.71097632861
2022-08-22,99151.81120226903
2022-08-23,99749.04809856632
2022-08-24,99000.11053765882
2022-08-25,99880.9143657799
2022-08-26,93580.17682464085
2022-08-27,92634.81004139455
2022-08-28,90379.30926829633
2022-08-29,93692.20635853814
2022-08-30,91476.66395046002
2022-08-31,92570.67892965219
2022-09-01,92945.92476008149
2022-09-02,92112.99975284723
2022-09-03,91557.50128115102
2022-09-04,92331.66766300074
2022-09-05,91387.58149133512
2022-09-06,86620.34354803154
2022-09-07,88905.10805015241
2022-09-08,89029.12012537816
2022-09-09,97967.30903112049
2022-09-10,99280.42495276232
2022-09-11,100095.81532803105
2022-09-12,102671.1788179649
2022-09-13,91942.30445933824
2022-09-14,92184.17490561442
2022-09-15,89760.65796829658
2022-09-16,90221.53656351415
2022-09-17,91624.35578300594
2022-09-18,88390.89026277704
2022-09-19,88939.30166122867
2022-09-20,85873.31204152097
2022-09-21,83970.49719021936
2022-09-22,88141.91502897374
2022-09-23,87632.90235520343
2022-09-24,85938.41757520381
2022-09-25,85423.0754500943
2022-09-26,87311.68078315766
2022-09-27,86633.86962798706
2022-09-28,88135.98007887171
2022-09-29,88943.53803270793
2022-09-30,88173.42416492447
2022-10-01,87665.05510122412
2022-10-02,86503.64221506477
2022-10-03,89063.12468744056
2022-10-04,92222.19966526168
2022-10-05,91404.36610235942
2022-10-06,90504.00636045088
2022-10-07,88530.34166434864
2022-10-08,88020.58907662658
2022-10-09,88116.00121557631
2022-10-10,86712.59041084835
2022-10-11,86386.2360726509
2022-10-12,86818.12825478573
2022-10-13,87807.7540436507
2022-10-14,86904.88918071099
2022-10-15,86416.17411416312
2022-10-16,87289.03688674583
2022-10-17,88579.43124808473
2022-10-18,87565.88081870033
2022-10-19,86639.14257569592
2022-10-20,86266.623941912
2022-10-21,86819.58965882496
2022-10-22,87000.52081580876
2022-10-23,88643.21286495992
2022-10-24,87546.30515811538
2022-10-25,90880.41628123073
2022-10-26,93957.48238629308
2022-10-27,91777.0846285746
2022-10-28,93109.22079657309
2022-10-29,94088.99997468638
2022-10-30,93261.61752351395
2022-10-31,92641.32605216568
2022-11-01,92609.13000331314
2022-11-02,91096.82818872844
2022-11-03,91349.53615070306
2022-11-04,95505.96457103283
2022-11-05,96184.77972091669
2022-11-06,94389.8384354946
2022-11-07,92959.29356462011
2022-11-08,83241.3337761588
2022-11-09,70541.38832935665
2022-11-10,77610.45149379566
2022-11-11,75233.74444387895
2022-11-12,74086.95485832116
2022-11-13,71930.80560090861
2022-11-14,73195.31870302238
2022-11-15,74423.02753460857
2022-11-16,73368.37435445523
2022-11-17,73499.47057163874
2022-11-18,73534.20304011652
2022-11-19,73535.21575236303
2022-11-20,71660.21857744403
2022-11-21,69429.69200700308
2022-11-22,71363.15360709146
2022-11-23,72998.59749950869
2022-11-24,72980.30500999527
2022-11-25,72641.81208739034
2022-11-26,72361.77895813568
2022-11-27,72230.68551431964
2022-11-28,71275.30205194195
2022-11-29,72277.6774356011
2022-11-30,75379.97427213228
2022-12-01,74557.4346267448
2022-12-02,75062.37717672804
2022-12-03,74145.3916560919
2022-12-04,75107.37196242531
2022-12-05,74493.01088702335
2022-12-06,75029.41049867107
2022-12-07,73913.33473660542
2022-12-08,75595.01846264403
2022-12-09,75174.53476879475
2022-12-10,75169.83856171725
2022-12-11,74983.34497866745
2022-12-12,75528.99278815932
2022-12-13,77968.22923218776
2022-12-14,78092.92460273224
2022-12-15,76107.99375403831
2022-12-16,72864.11184425476
2022-12-17,73493.98742562682
2022-12-18,73325.96841520522
2022-12-19,72002.8109173959
2022-12-20,73975.80348170832
2022-12-21,73664.76453359803
2022-12-22,73650.57722286506
2022-12-23,73462.37319977909
2022-12-24,73714.22231124107
2022-12-25,73696.66308505867
2022-12-26,74077.81705403728
2022-12-27,73139.19064422761
2022-12-28,72439.54594463666
2022-12-29,72815.75200770875
2022-12-30,72701.88752547734
2022-12-31,72416.42978513161
2023-01-01,72741.17698628565
2023-01-02,72986.4329381203
2023-01-03,72996.54439353413
2023-01-04,73759.40465052176
2023-01-05,73678.33593694733
2023-01-06,74196.53455404518
2023-01-07,74165.53744171846
2023-01-08,74967.72785120725
2023-01-09,75188.13333832206
2023-01-10,76327.95769029969
2023-01-11,78496.45749682692
2023-01-12,82352.12738794343
2023-01-13,86955.03883890269
2023-01-14,91315.55818784905
2023-01-15,90951.31214602583
2023-01-16,92310.0768804704
2023-01-17,92088.29070110523
2023-01-18,90073.69888548866
2023-01-19,91774.37913146263
2023-01-20,98473.33054657817
2023-01-21,98977.4546710922
2023-01-22,98648.17810614048
2023-01-23,99550.1176562517
2023-01-24,98310.63554592004
2023-01-25,100152.59532826729
2023-01-26,99929.59715365682
2023-01-27,100209.36840187247
2023-01-28,99985.1965863482
2023-01-29,103062.9334293616
2023-01-30,99007.25664830577
2023-01-31,100295.64762741786
2023-02-01,102896.53979230902
2023-02-02,101834.39165006792
2023-02-03,101586.79861630582
2023-02-04,101130.29670789129
2023-02-05,99407.88269617151
2023-02-06,98666.53120276086
2023-02-07,100716.76267475309
2023-02-08,99507.10396536114
2023-02-09,94318.63436745248
2023-02-10,93575.0559005493
2023-02-11,94596.54820311595
2023-02-12,94254.06247586447
2023-02-13,94212.64544388042
2023-02-14,96037.53138262017
2023-02-15,104813.48817339049
2023-02-16,101280.07945224941
2023-02-17,105713.1881334921
2023-02-18,105979.52354748723
2023-02-19,104418.35549426639
2023-02-20,106844.02368823778
2023-02-21,105153.18876444573
2023-02-22,103985.84991211437
2023-02-23,102939.94104354973
2023-02-24,99641.63946274953
2023-02-25,99520.28666961589
2023-02-26,101215.27743715067
2023-02-27,100945.23757568639
2023-02-28,99427.70748904737
2023-03-01,101500.07265826297
2023-03-02,100794.6557701643
2023-03-03,95905.8024180186
2023-03-04,95872.4613476783
2023-03-05,96230.7565534912
2023-03-06,96143.88321628688
2023-03-07,95229.85340896438
2023-03-08,93093.13620228566
2023-03-09,87146.18865409149
2023-03-10,86236.14783970943
2023-03-11,87531.80352055274
2023-03-12,93890.81768116163
2023-03-13,102515.62247850734
2023-03-14,104856.41597400024
2023-03-15,103208.23070563152
2023-03-16,106195.17711528843
2023-03-17,115916.09637374108
2023-03-18,113834.17676349396
2023-03-19,118254.40626959228
2023-03-20,117167.78926561963
2023-03-21,118798.5206174126
2023-03-22,115130.60411516625
2023-03-23,119460.72184488823
2023-03-24,115856.51965834461
2023-03-25,115892.29931785923
2023-03-26,118004.43226274553
2023-03-27,114392.28197503168
2023-03-28,114965.06509510371
2023-03-29,119462.26495786796
2023-03-30,118105.80364241567
2023-03-31,119932.30864881865
2023-04-01,119879.08321264901
2023-04-02,118689.86455415782
2023-04-03,117112.72055772785
2023-04-04,118642.29922148988
2023-04-05,118661.42166580494
2023-04-06,118086.35300424708
2023-04-07,117548.10435065204
2023-04-08,117683.02911462953
2023-04-09,119295.2463205986
2023-04-10,124703.37993248875
2023-04-11,127050.39465656556
2023-04-12,125729.52444626491
2023-04-13,127756.57450251059
2023-04-14,128147.52513647436
2023-04-15,127422.69968044959
2023-04-16,127462.90318690197
2023-04-17,123731.11701580069
2023-04-18,127660.95213640718
2023-04-19,120829.79688049486
2023-04-20,118484.9697264581
2023-04-21,114297.2309407919
2023-04-22,116596.58827079818
2023-04-23,115644.36524959764
2023-04-24,115309.95010722982
2023-04-25,118573.9526681084
2023-04-26,119052.71410667269
2023-04-27,123402.82952119334
2023-04-28,122726.57800465736
2023-04-29,122385.91607593102
2023-04-30,122397.47146362384
2023-05-01,117420.0569652118
2023-05-02,119910.18366299011
2023-05-03,121391.20580507255
2023-05-04,120602.40790708356
2023-05-05,123361.90010336904
2023-05-06,120582.20917714502
2023-05-07,118821.81066335468
2023-05-08,115596.58511654507
2023-05-09,115427.17377831924
2023-05-10,115303.77727803914
2023-05-11,112640.6619759996
2023-05-12,111913.19572059016
2023-05-13,111830.7601970414
2023-05-14,112423.68878522186
2023-05-15,113440.33633378008
2023-05-16,112903.232941955
2023-05-17,114445.30169648319
2023-05-18,111978.76114201278
2023-05-19,112224.73211370973
2023-05-20,113148.47672542003
2023-05-21,111658.09488838974
2023-05-22,112080.96120638908
2023-05-23,113616.362431662
2023-05-24,109836.766852745
2023-05-25,110439.09123539273
2023-05-26,111403.2329754933
2023-05-27,112020.3596837663
2023-05-28,116960.27925714265
2023-05-29,115582.76571714605
2023-05-30,115407.61121498756
2023-05-31,113372.65061160264
2023-06-01,111725.71763788961
2023-06-02,113481.02517715252
2023-06-03,112756.53184283701
2023-06-04,112947.9401180451
2023-06-05,107017.3647290381
2023-06-06,113088.94975767443
2023-06-07,109327.76898405318
2023-06-08,109986.86671603718
2023-06-09,109900.49897185028
2023-06-10,107225.90335999291
2023-06-11,107575.29515855256
2023-06-12,107490.78032731214
2023-06-13,107611.29406756526
2023-06-14,104215.31307307188
2023-06-15,106146.08158937051
2023-06-16,109197.2653836388
2023-06-17,109907.82902088211
2023-06-18,109171.65514205075
2023-06-19,111242.4026974073
2023-06-20,117148.12018386352
2023-06-21,123925.09176050342
2023-06-22,123474.04297857419
2023-06-23,126750.30153564928
2023-06-24,126083.29482083613
2023-06-25,125815.49990282388
2023-06-26,125008.90266556412
2023-06-27,126749.73310919419
2023-06-28,124184.06773102848
2023-06-29,125702.00151353108
2023-06-30,125803.89310052707
2023-07-01,126273.25349599773
2023-07-02,126401.70769648511
2023-07-03,128608.2861598017
2023-07-04,126989.55775903622
2023-07-05,125904.7641114663
2023-07-06,123364.16332852091
2023-07-07,125204.29366286779
2023-07-08,124956.19511448224
2023-07-09,124443.84483595243
2023-07-10,125474.61869492194
2023-07-11,126340.24831361455
2023-07-12,125337.42596136605
2023-07-13,129692.77318550933
2023-07-14,124895.50628291589
2023-07-15,124802.80565092676
2023-07-16,124565.53769209191
2023-07-17,124177.66536190144
2023-07-18,123023.28764664714
2023-07-19,123229.45056457938
2023-07-20,122778.6690753142
2023-07-21,123197.0509344423
2023-07-22,122752.43612015952
2023-07-23,123940.44989783554
2023-07-24,120145.1989670083
2023-07-25,120360.82322400768
2023-07-26,120866.46341268152
2023-07-27,120333.34777078277
2023-07-28,120708.9624624573
2023-07-29,120868.46190424898
2023-07-30,120572.40261887791
2023-07-31,120371.12347427742
2023-08-01,122306.2285660819
2023-08-02,120146.39546707727
2023-08-03,120177.80082845346
2023-08-04,119849.4675454851
2023-08-05,119677.02437254392
2023-08-06,119744.06427426451
2023-08-07,120247.85723107017
2023-08-08,122528.70396577715
2023-08-09,121750.70148001237
2023-08-10,121230.02328399688
2023-08-11,121107.64394702825
2023-08-12,121124.68159630794
2023-08-13,120603.63068822783
2023-08-14,121125.5545621247
2023-08-15,120171.39371354492
2023-08-16,118223.52538292382
2023-08-17,109218.59073611828
2023-08-18,106857.32885650436
2023-08-19,107045.86687979886
2023-08-20,107414.27371127674
2023-08-21,107155.28970305184
2023-08-22,106864.02743468418
2023-08-23,108398.01445838362
2023-08-24,107356.85517794569
2023-08-25,106863.47367809604
2023-08-26,106688.47794920564
2023-08-27,107034.01378920265
2023-08-28,107108.74239953651
2023-08-29,113462.5215309181
2023-08-30,111745.17605555637
2023-08-31,106038.3400737439
2023-09-01,105482.05884658832
2023-09-02,105745.22033417539
2023-09-03,106160.11822541778
2023-09-04,105564.97335248407
2023-09-05,105426.23275474294
2023-09-06,105294.73638078757
2023-09-07,107299.07295046898
2023-09-08,105881.85014925917
2023-09-09,105845.51541372864
2023-09-10,105600.04426712278
2023-09-11,102787.8730937068
2023-09-12,105519.14866229324
2023-09-13,107067.24163946052
2023-09-14,108288.16666799957
2023-09-15,108603.1893537511
2023-09-16,108438.40400173703
2023-09-17,108307.02088817532
2023-09-18,109262.25846912117
2023-09-19,111075.14665584861
2023-09-20,110726.55994524776
2023-09-21,108429.50239767497
2023-09-22,108478.71043592569
2023-09-23,108461.64970308199
2023-09-24,107116.42427600126
2023-09-25,107346.461011925
2023-09-26,107006.64032637003
2023-09-27,107622.37924330789
2023-09-28,110236.35401756052
2023-09-29,109768.53458967317
2023-09-30,109995.12404843823
2023-10-01,114118.82813684488
2023-10-02,112070.07912653965
2023-10-03,111792.3574188799
2023-10-04,113218.44996050456
2023-10-05,111707.8077115216
2023-10-06,113809.95503342834
2023-10-07,113914.13737507345
2023-10-08,113752.58454203287
2023-10-09,112412.59323962558
2023-10-10,111594.74967195628
2023-10-11,109478.18457939125
2023-10-12,109005.0826469675
2023-10-13,109421.29020602898
2023-10-14,109382.50399070422
2023-10-15,110604.49333426125
2023-10-16,115957.92403047513
2023-10-17,115530.46432187353
2023-10-18,115221.20638055031
2023-10-19,116812.00107921106
2023-10-20,120635.18414427988
2023-10-21,121610.17073456614
2023-10-22,121945.79423502619
2023-10-23,133857.4847642242
2023-10-24,137265.37137984482
2023-10-25,139565.87497718452
2023-10-26,138165.52251316817
2023-10-27,137111.09775617658
2023-10-28,137873.4979560124
2023-10-29,139661.6390682764
2023-10-30,139454.53684907776
2023-10-31,140120.551086552
2023-11-01,143247.27956760727
2023-11-02,141293.5021377277
2023-11-03,140381.49967492538
2023-11-04,141770.82390890238
2023-11-05,141567.73905729217
2023-11-06,141705.9969239727
2023-11-07,143126.3031986751
2023-11-08,144035.55853031072
2023-11-09,148323.01833113524
2023-11-10,150730.38554210917
2023-11-11,150035.25359561705
2023-11-12,149768.8491037552
2023-11-13,147319.60011241367
2023-11-14,143589.0997753192
2023-11-15,152617.11672794583
2023-11-16,145627.71037796015
2023-11-17,147430.2751151326
2023-11-18,147245.6599299138
2023-11-19,150399.7488955046
2023-11-20,150757.28920020882
2023-11-21,143723.3374260324
2023-11-22,150273.81580166545
2023-11-23,149814.92306805225
2023-11-24,151489.8558487107
2023-11-25,151759.1471748877
2023-11-26,150414.63497817676
2023-11-27,149590.0423487904
2023-11-28,151886.58337585372
2023-11-29,152030.17347738307
2023-11-30,151504.43410489324
2023-12-01,155306.04124970542
2023-12-02,158358.59715015767
2023-12-03,160439.87161642654
2023-12-04,168345.06136641357
2023-12-05,176492.44377394707
2023-12-06,175244.11575071936
2023-12-07,173272.70554852526
2023-12-08,176831.05454569173
2023-12-09,174990.42500413177
2023-12-10,175294.03767559814
2023-12-11,164835.86262806936
2023-12-12,165788.03753270954
2023-12-13,171199.2955612018
2023-12-14,171810.13505118823
2023-12-15,167434.04884787367
2023-12-16,168776.93475983205
2023-12-17,165131.48945298456
2023-12-18,170174.89688009326
2023-12-19,168644.8835588577
2023-12-20,174111.93794987444
2023-12-21,174879.23473398975
2023-12-22,175306.2842408007
2023-12-23,174238.98082409942
2023-12-24,171382.3140789663
2023-12-25,173697.19241378974
