datetime,BTCUSDT
2023-12-26,169390.30940998445
2023-12-27,173016.92125995285
2023-12-28,169535.68588418255
2023-12-29,167545.20295823633
2023-12-30,167837.00908553944
2023-12-31,168406.7784966991
2024-01-01,175793.63555636953
2024-01-02,178820.80251811558
2024-01-03,170257.48642946268
2024-01-04,175369.21573509986
2024-01-05,175345.4216990056
2024-01-06,174641.79777472367
2024-01-07,174485.62870043993
2024-01-08,186094.19371601875
2024-01-09,182730.4461793282
2024-01-10,184873.619945622
2024-01-11,183621.82916015
2024-01-12,168959.09810324202
2024-01-13,169216.6288790418
2024-01-14,164752.3339968205
2024-01-15,167798.37579171697
2024-01-16,170254.5919435042
2024-01-17,168820.43796337413
2024-01-18,163004.33795603746
2024-01-19,164306.7448806532
2024-01-20,164452.6506552542
2024-01-21,163995.64638253726
2024-01-22,155860.47791047583
2024-01-23,157153.33363472536
2024-01-24,157889.2880615314
2024-01-25,157400.94041453168
2024-01-26,164570.9295844592
2024-01-27,165735.930948353
2024-01-28,165383.11633604742
2024-01-29,170312.54533805887
2024-01-30,168884.3759561101
2024-01-31,167458.18965647346
2024-02-01,169424.556667491
2024-02-02,169884.27328752817
2024-02-03,169139.75446907282
2024-02-04,167447.3936985899
2024-02-05,167941.4224493214
2024-02-06,169469.01566475682
2024-02-07,174316.6861252941
2024-02-08,177969.1017561578
2024-02-09,185072.21586325538
2024-02-10,187484.33257952728
2024-02-11,189627.177208345
2024-02-12,195872.6775104948
2024-02-13,195016.64506166728
2024-02-14,203070.87503646826
2024-02-15,203403.19194848716
2024-02-16,204358.01660619152
2024-02-17,202461.59101018604
2024-02-18,204393.08112685475
2024-02-19,202965.28759067858
2024-02-20,204854.18161032954
2024-02-21,203242.89888848428
2024-02-22,201031.98722967517
2024-02-23,198887.24624163308
2024-02-24,202091.17079888287
2024-02-25,202719.68680482617
2024-02-26,213211.08180712213
2024-02-27,223005.41806622717
2024-02-28,243159.18151374726
2024-02-29,238038.05684583087
2024-03-01,242882.74329737868
2024-03-02,241318.05778475496
2024-03-03,245664.904744145
2024-03-04,264869.12861374614
2024-03-05,246711.51277892024
2024-03-06,255646.05100395653
2024-03-07,258528.19058606346
2024-03-08,263513.2568831265
2024-03-09,264243.629883453
2024-03-10,266717.7012894071
2024-03-11,278528.86089097796
2024-03-12,276098.9144417775
2024-03-13,282290.38615567185
2024-03-14,275710.7866922329
2024-03-15,268316.6752579899
2024-03-16,251594.39917933586
2024-03-17,263237.13490797905
2024-03-18,260204.18369864492
2024-03-19,237402.08629778982
2024-03-20,259014.059195062
2024-03-21,249925.26171736058
2024-03-22,243334.98064691233
2024-03-23,244071.42253850354
2024-03-24,256054.08944586525
2024-03-25,266029.3758284561
2024-03-26,266440.17051988293
2024-03-27,264460.8030058211
2024-03-28,269403.59950493294
2024-03-29,265840.16163660045
2024-03-30,264816.858729416
2024-03-31,271200.91086074506
2024-04-01,264926.3808953902
2024-04-02,248506.3475918798
2024-04-03,250394.49958952013
2024-04-04,259798.63032287324
2024-04-05,257255.4088686461
2024-04-06,261302.51048959384
2024-04-07,263057.89740808494
2024-04-08,271491.11514659255
2024-04-09,261947.07483893147
2024-04-10,267513.46670367446
2024-04-11,265136.33236320294
2024-04-12,253959.76885679676
2024-04-13,241584.98041868818
2024-04-14,248063.10073333897
2024-04-15,239445.6804851203
2024-04-16,240851.3388186034
2024-04-17,231159.72824806592
2024-04-18,239286.84359165517
2024-04-19,240594.98292878762
2024-04-20,244790.33701829787
2024-04-21,244792.44790145566
2024-04-22,251771.67278035713
2024-04-23,250239.7975823651
2024-04-24,242104.46251262422
2024-04-25,242889.30858957415
2024-04-26,240130.94346858593
2024-04-27,238968.2220644445
2024-04-28,237671.77805994585
2024-04-29,240469.4898551199
2024-04-30,228132.24313270563
2024-05-01,219288.37151722744
2024-05-02,221886.5711143595
2024-05-03,235797.95127808847
2024-05-04,239555.31398935066
2024-05-05,240004.6674873675
2024-05-06,236808.4755267497
2024-05-07,233588.34184815097
2024-05-08,229355.2508022502
2024-05-09,236299.0967666883
2024-05-10,227622.3890443876
2024-05-11,227719.70677543982
2024-05-12,230169.89134147097
2024-05-13,235557.327679915
2024-05-14,230401.73603401045
2024-05-15,247101.77543494053
2024-05-16,243449.7862432036
2024-05-17,250035.44631324272
2024-05-18,249629.23420293702
2024-05-19,247225.72110751356
2024-05-20,265805.42211364425
2024-05-21,260930.96140572155
2024-05-22,257253.4613925822
2024-05-23,252762.5634609012
2024-05-24,254911.54524365877
2024-05-25,257650.71299930292
2024-05-26,254722.99906538843
2024-05-27,258153.08570924343
2024-05-28,254264.68805413647
2024-05-29,251476.38080129292
2024-05-30,254064.1192037404
2024-05-31,251027.25318484165
2024-06-01,251868.94111493824
2024-06-02,251864.4067021072
2024-06-03,255716.04205273374
2024-06-04,262058.2278309618
2024-06-05,264167.93929387786
2024-06-06,263017.71925406385
2024-06-07,257599.8618485219
2024-06-08,257432.14873725898
2024-06-09,258683.31072508343
2024-06-10,258281.3509194501
2024-06-11,249879.3753002509
2024-06-12,253380.3329218415
2024-06-13,247784.82410897024
2024-06-14,245064.66168069415
2024-06-15,245747.42994363757
2024-06-16,247406.47258610005
2024-06-17,246765.42810441382
2024-06-18,241784.1746183195
2024-06-19,241037.54866019028
2024-06-20,240650.01538960732
2024-06-21,237939.9552730426
2024-06-22,238378.93927812055
2024-06-23,234444.26659224313
2024-06-24,223368.7236406404
2024-06-25,228903.71628572658
2024-06-26,225391.76642928366
2024-06-27,228486.5430335291
2024-06-28,223702.2948968689
2024-06-29,225761.59840204718
2024-06-30,232275.67701249817
2024-07-01,232748.76014032686
2024-07-02,229902.4747799055
2024-07-03,222660.0561370211
2024-07-04,210661.65930851985
2024-07-05,209100.50084737185
2024-07-06,214931.35304980938
2024-07-07,205991.59210841393
2024-07-08,209127.33439087722
2024-07-09,213994.28840917945
2024-07-10,212795.9999951313
2024-07-11,211368.44993237828
2024-07-12,213383.33430207602
2024-07-13,218175.99520641737
2024-07-14,223972.05179883106
2024-07-15,237987.95967459743
2024-07-16,239161.1383749464
2024-07-17,235619.92069162702
2024-07-18,235251.72513851023
2024-07-19,244876.05137839657
2024-07-20,246632.87124197275
2024-07-21,250371.0434332858
2024-07-22,248033.9507146673
2024-07-23,242101.72732036925
2024-07-24,240036.71879153824
2024-07-25,241588.28249282384
2024-07-26,249206.67771830378
2024-07-27,249164.50849792207
2024-07-28,250457.96854800283
2024-07-29,245022.57650905297
2024-07-30,242823.57606017846
2024-07-31,237031.8879381605
2024-08-01,239679.81848963798
2024-08-02,225105.14443552383
2024-08-03,222156.3939737127
2024-08-04,212671.3030322823
2024-08-05,196958.57129682816
2024-08-06,204130.29178875365
2024-08-07,200869.2774169169
2024-08-08,223424.35645810424
2024-08-09,220331.62506679381
2024-08-10,220641.12788458302
2024-08-11,212485.13771182278
2024-08-12,214767.50897430122
2024-08-13,219210.4727808073
2024-08-14,212211.9369071422
2024-08-15,208040.28682258222
2024-08-16,212806.69332725045
2024-08-17,215026.67644726174
2024-08-18,211143.81513903834
2024-08-19,214766.63390215806
2024-08-20,213226.57465017287
2024-08-21,220829.6271152503
2024-08-22,217994.29785368353
2024-08-23,230828.87873468595
2024-08-24,231260.1989046644
2024-08-25,231487.14111336705
2024-08-26,226436.4712363947
2024-08-27,213767.4393203127
2024-08-28,212395.49586430634
2024-08-29,213558.38804569238
2024-08-30,212711.16847521058
2024-08-31,212170.82574574224
2024-09-01,206068.06816614824
2024-09-02,212547.12592266483
2024-09-03,206552.6810568669
2024-09-04,208281.44990669363
2024-09-05,201745.50743730098
2024-09-06,193622.67828978642
2024-09-07,194331.42185887948
2024-09-08,196859.15527243505
2024-09-09,204501.62115810375
2024-09-10,206620.12714650895
2024-09-11,205549.0871738167
2024-09-12,208377.07494365255
2024-09-13,216688.92706007074
2024-09-14,214872.65827844237
2024-09-15,211766.4256599301
2024-09-16,208453.01610134044
2024-09-17,215840.25321452977
2024-09-18,220953.86718185144
2024-09-19,225163.7202325152
2024-09-20,226067.0962308585
2024-09-21,226595.54501453644
2024-09-22,227416.03896398345
2024-09-23,226560.37040935844
2024-09-24,229836.99668051346
2024-09-25,225829.85935431227
2024-09-26,232947.06480443067
2024-09-27,235067.48505918408
2024-09-28,235381.97290385002
2024-09-29,234465.26055299895
2024-09-30,226192.09743265322
2024-10-01,217000.49996090514
2024-10-02,216441.2709417225
2024-10-03,216810.07092712403
2024-10-04,221516.7639880691
2024-10-05,221416.84019800535
2024-10-06,224118.7079350763
2024-10-07,221982.56887301322
2024-10-08,221755.8828259943
2024-10-09,216249.5771525609
2024-10-10,215142.49764227337
2024-10-11,222895.52305630743
2024-10-12,225257.40470722146
2024-10-13,224056.04085037418
2024-10-14,235226.8226484358
2024-10-15,238725.131483412
2024-10-16,240660.0870988247
2024-10-17,239953.54902152365
2024-10-18,243508.21765049783
2024-10-19,243330.222366305
2024-10-20,245646.45474094374
2024-10-21,239687.34538593938
2024-10-22,239859.81623058073
2024-10-23,237150.39026321995
2024-10-24,242530.0323589
2024-10-25,237136.30281155545
2024-10-26,238534.51165933808
2024-10-27,241814.51204829695
2024-10-28,248616.38362260896
2024-10-29,258284.32466364326
2024-10-30,256889.72525367592
2024-10-31,249495.25426357964
2024-11-01,246653.80377329845
2024-11-02,246223.01882561235
2024-11-03,244088.72745258012
2024-11-04,240780.06379197486
2024-11-05,246121.51388880075
2024-11-06,267190.0667525156
2024-11-07,268198.9790074779
2024-11-08,270493.9185994889
2024-11-09,271086.08852677053
2024-11-10,283836.16285575426
2024-11-11,311661.263988756
2024-11-12,309204.7393058873
2024-11-13,317608.4815434759
2024-11-14,306706.1427743963
2024-11-15,319455.40032195556
2024-11-16,317889.42028629204
2024-11-17,315314.02195275266
2024-11-18,317440.68517390115
2024-11-19,323855.5805823794
2024-11-20,330714.0708529133
2024-11-21,344557.60215681046
2024-11-22,346566.43253344053
2024-11-23,342265.77742911683
2024-11-24,343062.55039733474
2024-11-25,325484.08145823405
2024-11-26,321806.9862076779
2024-11-27,335165.65332007804
2024-11-28,334398.633345356
2024-11-29,340688.43130755675
2024-11-30,336990.95495179255
2024-12-01,339696.7054419258
2024-12-02,334964.17756549566
2024-12-03,334995.87583018927
2024-12-04,344429.834606126
2024-12-05,338646.0492920694
2024-12-06,348272.0348265587
2024-12-07,348590.1642851805
2024-12-08,353022.94315800664
2024-12-09,339379.3662682721
2024-12-10,336986.45131960086
2024-12-11,352437.65098436625
2024-12-12,348509.9834853601
2024-12-13,353423.670829496
2024-12-14,353408.8609386438
2024-12-15,363859.9060663986
2024-12-16,369372.35400827735
2024-12-17,369633.74393078417
2024-12-18,348382.83866457717
2024-12-19,338716.2301405078
2024-12-20,339908.1987133398
2024-12-21,338119.07962998707
2024-12-22,330720.7114726324
2024-12-23,329659.99744227855
2024-12-24,342545.5670978834
2024-12-25,345194.8058372646
2024-12-26,332327.718607853
2024-12-27,327108.81247923773
2024-12-28,330562.7241379358
2024-12-29,325100.49894140376
2024-12-30,321802.41216853436
2024-12-31,324509.7269576491
2025-01-01,328013.37588342157
2025-01-02,336208.2902735203
2025-01-03,340306.3620082229
2025-01-04,340466.8856128389
2025-01-05,340962.5942904868
2025-01-06,354126.83106927184
2025-01-07,335344.9982318285
2025-01-08,328729.23072627035
2025-01-09,319939.4236086194
2025-01-10,327366.4116233364
2025-01-11,326930.2598413987
2025-01-12,326740.37086806365
2025-01-13,326709.40433786926
2025-01-14,333632.93561388884
2025-01-15,346964.1990390278
2025-01-16,345198.7823697276
2025-01-17,359038.6451668058
2025-01-18,360686.41391017876
2025-01-19,349387.19006546435
2025-01-20,352573.83748430427
2025-01-21,365716.4783989671
2025-01-22,357221.385616037
2025-01-23,357922.2807755293
2025-01-24,361214.3939784187
2025-01-25,360788.2444731805
2025-01-26,353387.16386344994
2025-01-27,351532.4809697749
2025-01-28,348949.57809769973
2025-01-29,357109.97769224056
2025-01-30,360500.9484041975
2025-01-31,352518.42880677775
2025-02-01,346289.8602956106
2025-02-02,336040.03685923404
2025-02-03,348292.16201379796
2025-02-04,335816.19762277754
2025-02-05,331840.0988485631
2025-02-06,331640.54824755486
2025-02-07,331477.1854126392
2025-02-08,331263.9559682298
2025-02-09,331325.8101125589
2025-02-10,334634.3184062717
2025-02-11,328909.5664788811
2025-02-12,336015.612796413
2025-02-13,331655.15076197154
2025-02-14,334704.48718061723
2025-02-15,334941.88750640664
2025-02-16,329921.53310334444
2025-02-17,328758.9038476306
2025-02-18,328387.0979531106
2025-02-19,331708.7319681159
2025-02-20,337360.0330768267
2025-02-21,329994.49583030696
2025-02-22,331258.1924876937
2025-02-23,330251.37192779226
2025-02-24,313700.7062756342
2025-02-25,303700.60738981795
2025-02-26,288136.1766504641
2025-02-27,289699.96594760654
2025-02-28,288470.82763921586
2025-03-01,294275.80285144015
2025-03-02,321074.21767144284
2025-03-03,292417.1361232948
2025-03-04,295994.79622937285
2025-03-05,307058.0515062782
2025-03-06,304764.96029731544
2025-03-07,293968.4106663277
2025-03-08,291999.9399365183
2025-03-09,272796.21301944647
2025-03-10,265472.9013734957
2025-03-11,279732.4878499848
2025-03-12,282241.2692359743
2025-03-13,273456.81524121604
2025-03-14,282956.50320447376
2025-03-15,284150.8548925676
2025-03-16,278144.9082701157
2025-03-17,282938.71268138353
2025-03-18,278543.29663916584
2025-03-19,292117.9419713947
2025-03-20,283160.7088687658
2025-03-21,282707.81901208876
2025-03-22,281872.1328233742
2025-03-23,289310.4229882994
2025-03-24,294029.54635633074
2025-03-25,293675.5159103316
2025-03-26,292045.57271870715
2025-03-27,293128.4194148512
2025-03-28,283538.68557631207
2025-03-29,277510.91874307004
2025-03-30,276641.41867252416
2025-03-31,277178.19778862514
2025-04-01,285800.6725795552
2025-04-02,276793.20175160293
2025-04-03,279120.7388420907
2025-04-04,281381.67265813326
2025-04-05,280198.9217257977
2025-04-06,262519.77321836073
2025-04-07,264962.662107991
2025-04-08,255279.51830995627
2025-04-09,275504.597164606
2025-04-10,265286.64743729477
2025-04-11,277709.576157658
2025-04-12,283810.7136575228
2025-04-13,278716.866949338
2025-04-14,281470.3576772729
2025-04-15,278299.550019214
2025-04-16,279582.1831786517
2025-04-17,282618.4023481087
2025-04-18,281039.6161866668
2025-04-19,283036.3699048406
2025-04-20,283376.2671077067
2025-04-21,291046.27642515616
2025-04-22,310117.7402400833
2025-04-23,310940.0079890864
2025-04-24,311898.94929086266
2025-04-25,314075.7785337473
2025-04-26,314040.3329992423
2025-04-27,311110.5825249588
2025-04-28,315270.24635160685
2025-04-29,312757.1060173647
2025-04-30,312475.53486997675
2025-05-01,320073.54805261496
2025-05-02,321388.5230646467
2025-05-03,317951.16063083324
2025-05-04,312670.7507674517
2025-05-05,314179.622452119
2025-05-06,321069.20218104456
2025-05-07,321720.00407551863
2025-05-08,341743.92537545133
2025-05-09,340784.1154503449
2025-05-10,346811.80038908083
2025-05-11,344515.96469765436
2025-05-12,340097.9065470022
2025-05-13,344412.65937346127
2025-05-14,342435.5431945757
2025-05-15,343281.0609139302
2025-05-16,342287.76502367196
2025-05-17,341170.2245427818
2025-05-18,352004.96005655546
2025-05-19,349081.29724554304
2025-05-20,353275.9356340217
2025-05-21,362394.9676700444
2025-05-22,369115.26080301136
2025-05-23,354356.7074140754
2025-05-24,355818.4541910838
2025-05-25,359896.8685618967
2025-05-26,361315.7709238849
2025-05-27,359672.3719655122
2025-05-28,355834.0037710502
2025-05-29,348522.566733795
2025-05-30,343186.67642356025
2025-05-31,345182.185302665
2025-06-01,348633.6285585047
2025-06-02,349342.6294838756
2025-06-03,347751.32950868236
2025-06-04,345499.9091134501
2025-06-05,334815.38837233675
2025-06-06,343860.831103682
2025-06-07,348002.5047827149
2025-06-08,348601.54330105736
2025-06-09,363222.6228177439
2025-06-10,363260.07534087903
2025-06-11,357852.9769012957
2025-06-12,347922.7755165764
2025-06-13,349220.42391952453
2025-06-14,347067.277972579
2025-06-15,347657.33409250365
2025-06-16,351587.6217422529
2025-06-17,344123.3844129675
2025-06-18,345226.25376300944
2025-06-19,344474.3668567415
2025-06-20,339966.7094265884
2025-06-21,336067.5538089762
2025-06-22,332241.1020079368
2025-06-23,346319.10750649654
2025-06-24,346366.0215344843
